timestamp,nick,operacion,valores,textos
2023-06-19 15:11:47.596202,abril,nuevo_meme,meme3.png,"cual sera , listo ya vali , estuvo cerca"
2023-06-19 15:12:38.453846,abril,nuevo_meme,meme3.png,"cual sera , listo ya vali , estuvo cerca"
2023-06-19 15:15:04.946980,rocky,nuevo_meme,meme3.png,"arriba , abajo , estuvo cerca"
2023-06-19 16:01:27.709708,girazol,nuevo_meme,meme2.png,"que onda , ta loco"
2023-06-19 16:25:52.796847,rocky,Cambio Configuracion,,
2023-06-23 11:55:19.647980,rocky,nuevo_meme,meme2.png,"maldi , tasea"
2023-06-23 11:56:12.998254,rocky,nuevo_meme,meme1.png,dale que vaa
2023-06-24 18:45:21.835772,neko,nuevo_collage,simpson_terror.png;bart.png;banda_calle.png;simpsons-rock.png;,bart simpsons rockstart
2023-07-05 22:32:08.024828,rocky,nuevo_collage,6cd7e8c2d45a0b5e.png;bart.png;simpsons-rock.png;,el_coco_simpsons_02
2023-07-07 13:10:57.706164,neko,nuevo_meme,meme1.png,Vamoooo
